num_samples,sequence_length,seed,num_trees,nodes,num_paths,num_loop_groups,max_loop_size
250,2000,1956,14,1038,7626,2,56
250,3000,9125,8,1020,1303,2,24
250,4000,6246,13,1035,739,2,58
250,5000,5908,16,1044,1225,3,70
250,6000,5753,10,1026,1050,2,57
250,7000,6287,27,1083,14330,1,114
250,8000,3659,24,1074,7761,1,96
250,9000,4428,15,1041,587,1,94
250,10000,6726,31,1089,5201,1,136
300,1000,886,5,1211,1020,1,49
300,2000,1220,7,1217,1101,1,50
300,3000,5018,12,1232,1975,1,79
300,4000,2526,6,1214,1318,1,29
300,5000,1023,11,1229,766,2,60
300,6000,7458,22,1262,5932,2,104
300,7000,5603,25,1271,6748,4,115
300,8000,6247,24,1268,12286,1,117
300,9000,6010,18,1253,3078,2,94
300,10000,8620,28,1280,117024,2,118
350,1000,69,4,1408,711,1,46
350,2000,5807,7,1417,1722,3,35
350,3000,5692,12,1432,2038,1,67
350,4000,4526,10,1426,2036,1,64
350,5000,6233,17,1447,3170,1,83
350,6000,3584,22,1462,906,1,138
350,7000,1982,21,1459,1852,1,115
350,8000,6695,34,1504,44146,1,111
350,9000,2869,27,1477,24982,1,114
350,10000,9445,48,1540,50982,2,183
400,1000,4783,2,1602,855,1,6
400,2000,4141,8,1620,1722,2,51
400,3000,30,14,1638,3942,1,70
400,4000,1966,13,1635,1356,1,85
400,5000,9407,12,1632,1496,1,51
400,6000,7541,19,1653,8276,3,72
400,7000,6502,23,1665,5348,2,106
400,8000,1126,22,1662,6975,1,96
400,9000,3798,16,1644,3423,1,69
400,10000,2279,22,1662,2232,1,139
450,1000,9722,5,1811,1434,1,19
450,2000,4147,10,1826,1074,2,78
450,3000,7702,11,1829,1283,1,56
450,4000,8546,11,1829,1124,1,69
450,5000,8507,20,1856,3763,1,111
450,6000,2491,19,1856,7170,1,105
450,7000,4538,14,1838,6595,1,62
450,8000,5976,18,1850,3842,1,94
450,9000,2468,32,1892,6487,1,135
450,10000,1421,32,1892,35758,1,120
500,1000,7201,4,2008,2222,1,26
500,2000,6154,9,2023,1749,1,68
500,3000,8948,13,2035,6224,1,63
500,4000,9699,19,2053,5678,1,100
500,5000,3669,15,2041,2984,1,88
500,6000,1685,9,2023,2827,1,58
500,7000,5936,11,2029,1404,2,67
500,8000,8313,26,2074,4158,1,142
500,9000,4442,30,2086,4394,2,155
500,10000,1066,20,2056,1996,1,117
