num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,paths_time,hybrid_r_time,hybrid_nr_time,paths_sum,hybrid_r_sum,hybrid_nr_sum
10,5000,3283,12,75,332,120,19.28092098236084,22.3674898147583,11.192294120788574,2646455659.5810513,2646455659.581052,2646455659.581052
10,5000,4691,9,63,103,201,1.0189340114593506,0.3650679588317871,0.19762802124023438,209477413.65036333,209477413.65036327,209477413.65036333
10,5000,2597,13,78,335,021,19.79777693748474,3.9393091201782227,2.037781000137329,7214086360.888704,7214086360.888703,7214086360.888705
10,5000,3360,3,45,36,201,0.06363487243652344,0.04147815704345703,0.022255897521972656,40767592.13821027,40767592.13821026,40767592.13821027
10,5000,1592,9,63,108,201,0.9887800216674805,0.4723389148712158,0.24882197380065918,464765365.5417396,464765365.5417396,464765365.5417396
10,5000,5236,15,81,346,201,21.929791927337646,12.097054958343506,6.140751123428345,3460815931.2316027,3460815931.231603,3460815931.2316027
10,5000,113,12,75,204,102,5.439905166625977,0.7283921241760254,0.8594708442687988,758575116.0042529,758575116.0042529,758575116.0042529
10,5000,9525,13,78,579,021,98.21730089187622,70.18742418289185,35.30083513259888,18093063438.45389,18093063438.453888,18093063438.453884
10,5000,5055,9,63,118,210,1.6065468788146973,1.469270944595337,0.7639648914337158,329551094.7832295,329551094.7832294,329551094.7832295
20,1000,8729,1,79,40,120,0.07622671127319336,0.2145981788635254,0.08887791633605957,16746794.894262869,16746794.894262869,16746794.894262869
20,1000,361,1,79,40,012,0.09310293197631836,0.24076104164123535,0.10767412185668945,27100910.39489396,27100910.39489396,27100910.39489396
20,1000,8045,3,85,60,021,0.3553617000579834,0.13461828231811523,0.06909894943237305,88079961.38742301,88079961.38742301,88079961.38742301
20,1000,3449,5,91,185,021,6.098362922668457,0.8695292472839355,0.4629099369049072,1093232745.0998724,1093232745.0998724,1093232745.0998724
20,1000,1488,1,79,40,210,0.11855912208557129,0.3116176128387451,0.13516688346862793,48866204.57850823,48866204.57850823,48866204.57850823
20,1000,4248,1,79,40,201,0.09524416923522949,0.24831008911132812,0.11342787742614746,10443905.27710428,10443905.27710428,10443905.27710428
20,1000,5498,1,79,40,102,0.12253808975219727,0.30808520317077637,0.14112305641174316,24009430.34995494,24009430.34995494,24009430.34995494
20,1000,9733,2,82,44,201,0.12502193450927734,0.12452816963195801,0.06248784065246582,61278718.46310669,61278718.463106684,61278718.46310669
20,1000,9345,4,88,90,210,0.9095909595489502,0.16183018684387207,0.0881657600402832,107714553.04818504,107714553.04818502,107714553.04818502
20,1000,5843,2,82,45,102,0.18663787841796875,0.13310003280639648,0.08075118064880371,30353701.244585317,30353701.24458532,30353701.244585317
20,2000,466,3,85,56,210,0.2036590576171875,0.09442591667175293,0.05112886428833008,50111511.957276896,50111511.957276896,50111511.957276896
20,2000,323,4,88,83,021,0.8058009147644043,0.1158449649810791,0.11107993125915527,190757912.41247362,190757912.41247362,185122372.7551353
20,2000,1122,5,91,121,120,1.9343023300170898,0.16428804397583008,0.08501720428466797,272457877.4342855,272457877.4342856,272457877.4342855
20,2000,982,4,88,45,102,0.1434633731842041,0.1018989086151123,0.05885887145996094,46535913.49143362,46535913.49143362,46535913.49143361
20,2000,6023,4,88,45,201,0.09677481651306152,0.0887601375579834,0.04994773864746094,25188790.60384776,25188790.60384776,25188790.60384776
