num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,num_loop_groups,paths_time,hybrid_r_time,hybrid_nr_time,top_down_time,paths_modified_time,paths_sum,hybrid_r_sum,hybrid_nr_sum,top_down_sum,paths_modified_sum
80,1000,6579,5,331,201,21403,2,22.502681970596313,3.3346309661865234,1.8606069087982178,0.021039247512817383,0.18558001518249512,2250341219.4245634,2250341219.424564,2250341219.4245634,2250341219.424564,2250341219.4245634
80,1000,8023,6,334,365,03124,2,55.75256705284119,3.1014089584350586,2.85640811920166,0.022589921951293945,0.2962160110473633,1733521918.8429608,1733521918.8429608,1733521918.8429608,687573362.47237,1733521918.8429608
90,1000,9540,2,362,192,03124,1,10.549743175506592,11.125188827514648,5.556953191757202,0.023988962173461914,0.17244815826416016,623530090.5762709,623530090.5762708,623530090.5762708,623530090.5762709,623530090.5762709
90,1000,5428,6,374,436,43012,2,133.47194814682007,7.142972946166992,3.843878746032715,0.032704830169677734,0.45615100860595703,2200764478.0080595,2200764478.00806,2200764478.00806,2095113545.9517925,2200764478.0080595
90,1000,1269,5,371,272,02413,1,33.01021385192871,4.642063140869141,2.129220724105835,0.0310060977935791,0.2699120044708252,199605588.83051944,199605588.83051944,199605588.8305194,199605588.83051944,199605588.83051944
90,1000,3560,2,362,184,12034,1,9.730705976486206,5.442587852478027,2.5914831161499023,0.022226333618164062,0.20461106300354004,526670398.6749895,526670398.6749896,526670398.67498946,526670398.6749895,526670398.6749895
90,1000,7899,4,368,184,21034,2,11.90340518951416,3.7645249366760254,2.1021389961242676,0.024512052536010742,0.18490099906921387,264563251.65140772,264563251.65140766,264563251.6514077,264563251.6514077,264563251.65140772
100,1000,8349,3,405,392,14023,1,125.21905303001404,44.219261169433594,22.594632863998413,0.034876108169555664,0.47815608978271484,7215481624.219928,7215481624.219927,7215481624.219926,7215481624.219927,7215481624.219928
100,1000,4135,5,411,256,02134,1,26.18567204475403,4.7386322021484375,2.4859371185302734,0.027370929718017578,0.28112196922302246,797239075.6560457,797239075.6560456,797239075.6560457,797239075.6560457,797239075.6560457
100,1000,4009,3,405,273,12403,1,33.708287954330444,13.602787971496582,6.863048315048218,0.02785778045654297,0.2810499668121338,1987413702.76003,1987413702.7600298,1987413702.76003,1987413702.7600298,1987413702.76003
100,1000,8047,4,408,252,03214,2,22.081146240234375,22.172060012817383,11.124788999557495,0.03018021583557129,0.25752687454223633,1371549591.0645247,1371549591.0645244,1371549591.0645247,1371549591.0645247,1371549591.0645247
100,1000,876,3,405,288,13420,1,36.53388071060181,6.448138952255249,3.3564841747283936,0.030629873275756836,0.2935769557952881,277666258.4384837,277666258.4384837,277666258.4384837,277666258.4384837,277666258.4384837
