num_samples,sequence_length,seed,num_trees,nodes,paths,algo_order,top_down_time,paths_modified_time,top_down_sum,paths_modified_sum
110,3000,2408,5,451,334,10,1.6791861057281494,0.7739272117614746,2520748585.203168,2520748585.203168
110,3000,8223,3,445,353,01,1.570763111114502,0.6721501350402832,1115534954.0958529,1115534954.0958529
110,4000,7489,17,487,1067,10,7.049716949462891,2.2142510414123535,23867328393.44801,23867328393.44801
110,4000,3241,7,457,256,01,0.9318511486053467,0.5482580661773682,124690856.19147086,124690856.19147088
110,4000,6544,6,454,519,10,2.6263718605041504,0.9866900444030762,7852336707.673241,7852336707.67324
110,5000,2958,15,481,433,01,2.061826229095459,0.8668351173400879,7239281416.9400625,7239281416.940063
110,5000,9387,11,469,924,10,6.0591020584106445,2.3944880962371826,39419198048.53655,39419198048.53656
110,5000,2102,18,490,2240,01,20.59562587738037,10.401818990707397,178979040700.82175,178979040700.8219
130,1000,9087,4,528,566,01,3.387782335281372,1.2904109954833984,7501190836.751996,7501190836.751995
130,1000,8474,4,528,325,01,1.7632300853729248,0.8912639617919922,1469196900.2510715,1469196900.2510715
130,1000,607,3,525,267,10,1.1304500102996826,0.7489149570465088,632066734.683344,632066734.6833441
130,2000,1128,7,537,905,01,6.497295141220093,2.1955649852752686,46152725738.228874,46152725738.228874
130,2000,6489,3,525,271,10,1.1328752040863037,0.6903300285339355,884971143.6143682,884971143.6143681
130,2000,2079,8,540,802,01,5.131446123123169,1.7707579135894775,13020510908.440735,13020510908.44074
130,3000,9416,12,552,641,01,3.839189052581787,1.838582992553711,6301309542.540259,6301309542.540258
130,3000,5381,8,540,704,10,4.161984920501709,1.460752248764038,9195765627.196753,9195765627.19675
130,3000,8878,7,537,726,01,4.5542802810668945,1.5604910850524902,9371972484.843533,9371972484.843534
130,4000,8551,11,549,565,10,3.0315637588500977,1.1301639080047607,6213536430.767657,6213536430.767659
130,4000,7165,4,528,320,10,1.3905010223388672,0.7343900203704834,1126201842.7909193,1126201842.7909193
130,4000,4742,10,546,403,01,2.3922040462493896,0.8876769542694092,3028955977.087068,3028955977.0870676
130,5000,5361,19,573,2566,01,27.324031114578247,12.385071992874146,564503992994.785,564503992994.7853
130,5000,5128,11,549,2051,01,20.061954021453857,9.586703300476074,99753244661.34387,99753244661.34387
130,5000,4903,21,579,5177,10,69.18000411987305,47.76144099235535,868285750918.3738,868285750918.3767
150,1000,3816,4,608,310,10,1.9884941577911377,1.0726306438446045,2886986553.141141,2886986553.141141
150,1000,8522,4,608,439,01,2.5591280460357666,1.1368367671966553,2427695116.3109684,2427695116.310968
150,1000,320,3,605,325,10,1.5565540790557861,0.939586877822876,950947248.6356429,950947248.6356426
150,2000,1307,5,611,502,10,3.2648849487304688,1.1772758960723877,9754229978.592287,9754229978.592289
150,2000,9433,4,608,483,10,2.898397207260132,1.175678014755249,2684705438.2725797,2684705438.2725782
150,2000,5571,9,623,2839,01,36.165926933288574,18.274758100509644,296729939580.3964,296729939580.39636
150,3000,8234,8,620,728,01,5.071820259094238,1.6674723625183105,6503577028.991925,6503577028.991927
150,3000,8053,14,638,1567,01,15.096781015396118,4.142513275146484,73840609978.86505,73840609978.86505
150,3000,361,11,629,662,01,4.646551132202148,1.5344867706298828,2989963682.4494014,2989963682.4494014
150,4000,8825,4,608,354,10,2.0279860496520996,0.9880590438842773,2715932083.875471,2715932083.875471
150,4000,9029,13,635,568,01,4.155747175216675,1.4233043193817139,2765809479.394441,2765809479.39444
150,4000,4258,11,629,906,10,6.976307392120361,2.2187130451202393,12430138273.54543,12430138273.545433
150,5000,5168,15,641,944,10,6.837496042251587,2.170987129211426,18167600277.222874,18167600277.222885
150,5000,1523,17,647,9842,10,251.77853107452393,202.71401596069336,3745943322987.969,3745943322987.969
150,5000,6540,11,629,573,01,4.406810283660889,1.5964419841766357,22901585165.802914,22901585165.80292
170,1000,4987,2,682,341,10,2.770541191101074,1.3563570976257324,3707818905.4649916,3707818905.4649916
170,1000,6602,6,694,585,10,5.172030925750732,1.985663890838623,3752505850.002491,3752505850.0024915
170,1000,1914,2,682,341,01,2.464930772781372,1.3548836708068848,1437483110.4842315,1437483110.4842315
170,2000,2456,6,694,696,01,5.785485029220581,2.109347105026245,4608349901.623798,4608349901.623798
170,2000,1223,5,691,688,01,7.002709150314331,2.3615329265594482,15492298601.870958,15492298601.870958
170,2000,3320,6,694,410,01,3.033292055130005,1.4878270626068115,2889245529.5947623,2889245529.594762
170,3000,3831,9,703,681,10,6.04718279838562,2.004056215286255,5632641377.217351,5632641377.217351
170,3000,9200,11,709,720,01,6.809566020965576,2.1088690757751465,7415843979.382098,7415843979.382099
170,3000,2342,9,703,599,01,4.7603349685668945,1.8190650939941406,2188561769.4020653,2188561769.4020653
170,4000,4295,9,703,576,10,4.94450306892395,1.9000039100646973,10397320706.765097,10397320706.765097
